sala,inicio,fim,seg,ter,qua,qui,sex
K105,7,9,0,0,0,0,1
K113,9,11,1,0,0,0,0
K113,9,11,0,0,0,0,1
K126,9,11,1,0,0,0,0
K114,9,11,0,0,0,0,1
K113,11,13,1,0,0,0,0
K113,11,13,0,0,0,0,1
K126,11,13,1,0,0,0,0
K114,11,13,0,0,0,0,1
K105,11,13,0,0,1,0,0
K124,11,13,0,0,0,0,1
K618,7,9,0,1,0,0,0
K618,7,9,0,0,0,1,0
K105,9,11,0,0,1,0,0
K611,9,11,0,0,0,0,1
K126,7,9,1,0,0,0,0
K114,7,9,0,0,0,0,1
K116,7,9,1,0,0,0,0
K118,7,9,0,0,0,0,1
K105,9,11,1,0,0,0,0
K105,9,11,0,0,0,0,1
K116,9,11,1,0,0,0,0
K118,9,11,0,0,0,0,1
K105,11,13,1,0,0,0,0
K105,11,13,0,0,0,0,1
K116,11,13,1,0,0,0,0
K118,11,13,0,0,0,0,1
K118,7,9,0,0,1,0,0
K618,7,9,0,0,0,0,1
K118,9,11,0,0,1,0,0
K618,9,11,0,0,0,0,1
K118,11,13,0,0,1,0,0
K618,11,13,0,0,0,0,1
K617,7,9,1,0,0,0,0
K617,9,11,1,0,0,0,0
K617,11,13,1,0,0,0,0
K617,7,9,0,0,0,0,1
K617,9,11,0,0,0,0,1
K617,11,13,0,0,0,0,1
K611,13,15,1,0,0,0,0
K616,13,15,0,0,0,0,1
K613,13,15,1,0,0,0,0
K610,13,15,0,0,0,0,1
K615,13,15,1,0,0,0,0
K612,13,15,0,0,0,0,1
K617,13,15,1,0,0,0,0
K614,13,15,0,0,0,0,1
K610,13,15,1,0,0,0,0
K611,13,15,0,0,0,0,1
K611,15,17,1,0,0,0,0
K616,15,17,0,0,0,0,1
K613,15,17,1,0,0,0,0
K610,15,17,0,0,0,0,1
K615,15,17,1,0,0,0,0
K612,15,17,0,0,0,0,1
K617,15,17,1,0,0,0,0
K614,15,17,0,0,0,0,1
K610,15,17,1,0,0,0,0
K611,15,17,0,0,0,0,1
K611,17,19,1,0,0,0,0
